Имя в базе,цена,ОЗОН. Вариации.,РЕЙТИНГ,ModelProcessor,Видеокарта*,Видеопамять,Модель графического процессора,Бренд графического процессора
rtx 4070,43000,0,26994,1,MSI GeForce RTX 4070 GAMING X SLIM (12 Гб),12 Гб,GeForce RTX 4070,NVIDIA
rtx 3080,29000,0,24781,1,NVIDIA GeForce RTX 3080 (8 Гб),8 Гб,GeForce RTX 3080,NVIDIA
rtx 3070ti,25000,0,23176,1,NVIDIA GeForce RTX 3070 Ti (8 Гб),8 Гб,GeForce RTX 3070 Ti,NVIDIA
rtx 4060ti,40000,0,22532,1,MSI GeForce RTX 4060 Ti Gaming X (8 Гб),8 Гб,GeForce RTX 4060 Ti,NVIDIA
rtx 3070,22000,0,21572,1,NVIDIA GeForce RTX 3070 (8 Гб),8 Гб,GeForce RTX 3070,NVIDIA
rtx 3060ti,20000,0,19864,1,NVIDIA GeForce RTX 3060 Ti (8 Гб),8 Гб,GeForce RTX 3060 Ti,NVIDIA
rtx 4060,25000,0,19520,1,NVIDIA GeForce RTX 4060 (8 Гб),8 Гб,GeForce RTX 4060,NVIDIA
gtx 1080 ti,14000,0,18539,1,NVIDIA GeForce GTX 1080 Ti (8 Гб),8 Гб,GeForce GTX 1080 Ti,NVIDIA
rtx 2070s,17000,0,18263,1,NVIDIA GeForce RTX 2070 SUPER (8 Гб),8 Гб,GeForce RTX 2070 SUPER,NVIDIA
rtx 3060,19000,0,16639,1,NVIDIA GeForce RTX 3060 (12 Гб),12 ГБ,GeForce RTX 3060,NVIDIA
rtx 2070,16000,0,16305,1,NVIDIA GeForce RTX 2070 (6 Гб),6 Гб,GeForce RTX 2070,NVIDIA
rtx 2060s,14500,0,16297,1,NVIDIA GeForce RTX 2060 SUPER (8 Гб),8 Гб,GeForce RTX 2060 SUPER,NVIDIA
gtx 1080,11000,0,14885,1,NVIDIA GeForce GTX 1080 (8 Гб),8 Гб,GeForce GTX 1080,NVIDIA
gtx 1070 ti,10000,0,14134,1,NVIDIA GeForce GTX 1070 Ti (8 Гб),8 Гб,GeForce GTX 1070 Ti,NVIDIA
gtx 1070,9000,0,13350,1,NVIDIA GeForce GTX 1070 (6 Гб),6 Гб,GeForce GTX 1070,NVIDIA
gtx 1660 ti,9500,0,12777,1,NVIDIA GeForce GTX 1660 Ti (4 Гб),4 Гб,GeForce GTX 1660 Ti,NVIDIA
gtx 1660s,9500,0,12715,1,NVIDIA GeForce GTX 1660 SUPER (6 Гб),6 Гб,GeForce GTX 1660 SUPER,NVIDIA
rtx 5060ti,42000,0,,1,NVIDIA GeForce RTX 5060 Ti (16 Гб),16 Гб,GeForce RTX 5060 Ti,NVIDIA
rtx 5060,27000,0,,1,NVIDIA GeForce RTX 5060 (8 Гб),8 Гб,GeForce RTX 5060,NVIDIA
rtx 5050,22000,0,,1,NVIDIA GeForce RTX 5050 (8 Гб),8 Гб,GeForce RTX 5050,NVIDIA
